date,dji,test_1_ens_no_indic,test_2_ens_default_indic,test_3_ens_def_mix_indic,test_4_ens_diff_indic,test_5_ens_extensive_indic
2022-01-03,1000000,1000000,1000000,1000000,1000000,1000000
2022-01-04,1005865.505,1000926.497,999250.3953,999666.7901,1002546.377,1001605.678
2022-01-05,995136.0138,1000071.702,994615.8416,988426.1367,995974.1544,997414.4598
2022-01-06,990471.7976,997960.9716,988974.5524,980137.4954,992562.3493,992326.4712
2022-01-07,990340.3616,999083.4408,985503.4729,975306.9697,990242.0993,988590.0021
2022-01-10,985890.7565,993819.2808,981673.1761,976366.0953,979915.2131,989006.0172
2022-01-11,990896.8558,993273.133,987527.3619,982638.5768,983675.3221,996094.0786
2022-01-12,991943.7527,993993.3712,992097.8899,982974.4562,983641.9807,991266.405
2022-01-13,987113.9334,993285.1562,984355.7167,970432.1883,980458.8128,985840.1006
2022-01-14,981597.6788,988090.3963,971385.9484,967065.1902,971989.3185,971550.4
2022-01-18,966746.265,981070.6164,957967.8951,947127.4694,955433.088,946523.5892
2022-01-19,957457.7651,969380.0068,946897.4688,941988.0121,947001.8486,938508.6464
2022-01-20,948895.313,963714.2194,937707.7878,934907.7986,938275.3282,932897.5729
2022-01-21,936594.6758,957613.5219,921820.2503,926838.9523,926146.6181,925346.8908
2022-01-24,939304.222,965042.5338,924067.2661,931098.5813,927816.0785,927149.5856
2022-01-25,937479.1728,957403.2853,926556.972,927438.6,926365.5774,920625.937
2022-01-26,933935.6327,951352.9722,932418.4137,927419.8053,923366.5157,919439.5
2022-01-27,933735.8628,947025.1962,929030.4859,930576.7764,920319.8902,924231.049
2022-01-28,949170.7841,959951.8596,971328.9754,948140.6359,944227.7132,934247.2179
2022-01-31,960278.8878,958991.9274,970357.6685,947192.5,943283.4911,933312.972
2022-02-01,967751.3073,959273.5264,970533.2418,947900.5044,945694.5814,936049.9
2022-02-02,973876.4811,961469.3392,975339.7341,951743.5534,950332.6126,936254.6
2022-02-03,959713.1044,957766.0786,968391.89,940304.5492,934868.4858,930730.3246
2022-02-04,959127.5682,956004.0223,964589.3099,940515,933729.4818,931384.9894
2022-02-07,959165.5789,955843.7466,962426.9946,939250.3648,933111.3579,932927
2022-02-08,969324.1616,964318.4655,971860.8598,953368.3538,938824.2744,944766.2852
2022-02-09,977668.4791,970004.2335,981890.8776,961401.6261,948312.6233,952101.4558
2022-02-10,963278.2124,959530.036,961891.1491,942424.0687,933923.8662,938486.6631
2022-02-11,949514.9093,947960.2618,946807.9909,927591.3185,919774.3359,922252.3297
2022-02-14,944816.6329,945669.4558,944841.9779,923464.9,917736.1265,919766.4343
2022-02-15,956369.6544,956739.0338,957400.9867,933692.9,929058.1732,931766.1
2022-02-16,954878.0533,956163.0787,957280.1302,931187.7377,927460.9931,928185.6189
2022-02-17,937870.0641,941856.137,940229.3449,915244.1,913558.4553,909841.7043
2022-02-18,931505.4013,937733.1704,933904.231,910231.9063,907696.8787,902647.1
2022-02-22,918315.0353,928788.5202,919912.5885,895013.1254,891272.7872,889370.9
2022-02-23,905609.0927,913301.2094,903247.693,883674.8,875845.6068,877610.5754
2022-02-24,908125.5956,910967.732,907076.7937,888896.1207,881184.3112,879805.5874
2022-02-25,930946.9852,929749.9518,928787.6462,915530.9029,899435.0225,905259.5273
2022-02-28,926405.5564,923263.4665,923987.5369,913266.6103,893224.1913,898749.812
2022-03-01,910069.5885,903469.6047,911223.2926,903533.3678,871509.849,881504.0981
2022-03-02,926371.3894,915862.2063,923759.3887,919299.5337,884051.0759,898312.3739
2022-03-03,923728.4688,908599.4029,922576.6173,917840.3344,877810.5623,898766.9342
2022-03-04,918812.2713,904130.1624,918979.2394,917357.7369,867242.2093,897182.455
2022-03-07,897015.8903,871742.9821,893474.2822,899381.9,838949.2073,882732.4319
2022-03-08,891966.3349,864505.0434,882429.1763,887334.8208,833017.9691,876915.3621
2022-03-09,909831.8078,874241.8613,908912.1491,907867.433,853024.2407,894753.1286
2022-03-10,906765.5373,869622.6457,905501.5551,904201.2828,847606.9131,888079.8814
2022-03-11,900482.1277,872161.1055,894359.9524,895582.4492,840834.6615,882422.5177
2022-03-14,900510.7426,865491.5963,899406.1089,895877.8423,841701.5403,884046.0294
2022-03-15,916886.3228,885840.7719,920399.9403,912385.363,861314.0457,897453.6936
2022-03-16,931065.9289,905038.3771,934407.2078,923605.8718,879769.5817,905565.3624
2022-03-17,942482.069,907402.6326,944513.1889,936605.7,887435.8379,918332.5
2022-03-18,949976.0564,914705.2035,954610.6376,943714.991,897654.3396,920497.4
2022-03-21,944456.2783,907914.8016,952811.8767,938918.2,886834.0208,918618.1
2022-03-22,951411.9227,919962.1577,958304.8943,944130.3,896024.911,921801.1872
2022-03-23,939140.2206,915138.9973,950727.8881,931192.8,880655.2137,913543.3061
2022-03-24,948691.6993,928692.3453,964583.1644,940944.4247,888291.8216,922578.3
2022-03-25,952881.8491,934587.0866,968111.9181,942367.5617,891931.0617,927287.8
2022-03-28,955469.0349,938673.7313,973201.6161,946484.3973,896441.5302,929719.2377
2022-03-29,964716.0005,957896.0964,987129.4615,953326.6,910856.3618,935750.9091
2022-03-30,962928.8553,958189.8356,983636.4124,951329.3864,904619.4964,939725.5
2022-03-31,947882.9034,945858.239,968497.787,935733.6,890472.4973,929323.5778
2022-04-01,951707.36,949830.8724,978063.1153,940346.8,896050.36,935072
2022-04-04,954539.3734,948727.7783,984411.9382,944633.5186,898932.106,936561.9
2022-04-05,946866.8637,947828.0878,978864.1471,941718.0517,890787.9588,936302.3885
