date,dji,test_1_ens_no_indic,test_5_ens_extensive_indic,test_7_ens_extensive_indic-25%,test_6_ens_extensive_indic+25%
2022-01-03,1000000,1000000,1000000,1000000,1000000
2022-01-04,1005865.505,1000926.497,1001605.678,1000746.115,1000213.416
2022-01-05,995136.0138,1000071.702,997414.4598,997900.1951,1010379.33
2022-01-06,990471.7976,997960.9716,992326.4712,996163.2695,1009987.348
2022-01-07,990340.3616,999083.4408,988590.0021,999491.9837,1011290.849
2022-01-10,985890.7565,993819.2808,989006.0172,999986.6153,1013675.036
2022-01-11,990896.8558,993273.133,996094.0786,990956.4671,1008625.614
2022-01-12,991943.7527,993993.3712,991266.405,980018.9796,1010229.88
2022-01-13,987113.9334,993285.1562,985840.1006,998486.8267,1010399.816
2022-01-14,981597.6788,988090.3963,971550.4,1004892.075,1017444.504
2022-01-18,966746.265,981070.6164,946523.5892,1010921.449,1028599.433
2022-01-19,957457.7651,969380.0068,938508.6464,1018561.323,1016379.847
2022-01-20,948895.313,963714.2194,932897.5729,1021842.795,1000017.308
2022-01-21,936594.6758,957613.5219,925346.8908,1020946.038,994886.1957
2022-01-24,939304.222,965042.5338,927149.5856,1017042.282,1006097.94
2022-01-25,937479.1728,957403.2853,920625.937,1014730.4,1004582.765
2022-01-26,933935.6327,951352.9722,919439.5,1026095.25,986722.7455
2022-01-27,933735.8628,947025.1962,924231.049,1038562.593,982035.7
2022-01-28,949170.7841,959951.8596,934247.2179,1033118.651,969538.5
2022-01-31,960278.8878,958991.9274,933312.972,1030653.348,958120.9131
2022-02-01,967751.3073,959273.5264,936049.9,1038123.777,952117.9407
2022-02-02,973876.4811,961469.3392,936254.6,1026415.102,980503.4
2022-02-03,959713.1044,957766.0786,930730.3246,1036079.59,970082.3311
2022-02-04,959127.5682,956004.0223,931384.9894,1037936.006,956606.0895
2022-02-07,959165.5789,955843.7466,932927,1043211.367,973604.856
2022-02-08,969324.1616,964318.4655,944766.2852,1046184.246,973178.7988
2022-02-09,977668.4791,970004.2335,952101.4558,1035655.647,972241.7905
2022-02-10,963278.2124,959530.036,938486.6631,1032506.94,955948.8261
2022-02-11,949514.9093,947960.2618,922252.3297,1024781.92,944598.2005
2022-02-14,944816.6329,945669.4558,919766.4343,1010295.793,959991.1676
2022-02-15,956369.6544,956739.0338,931766.1,1007552.008,953521.4485
2022-02-16,954878.0533,956163.0787,928185.6189,1007594.338,948787.3559
2022-02-17,937870.0641,941856.137,909841.7043,989638.9,948191.9365
2022-02-18,931505.4013,937733.1704,902647.1,988379.0607,960575.3989
2022-02-22,918315.0353,928788.5202,889370.9,992476.5965,967783.5872
2022-02-23,905609.0927,913301.2094,877610.5754,991484.1245,977786.5272
2022-02-24,908125.5956,910967.732,879805.5874,994068.6521,982269.9
2022-02-25,930946.9852,929749.9518,905259.5273,994059.7098,979369.2086
2022-02-28,926405.5564,923263.4665,898749.812,987206.0911,984639.4237
2022-03-01,910069.5885,903469.6047,881504.0981,990776.3828,973612.9101
2022-03-02,926371.3894,915862.2063,898312.3739,992209.7,980586.2528
2022-03-03,923728.4688,908599.4029,898766.9342,1000019.297,988045.6416
2022-03-04,918812.2713,904130.1624,897182.455,1009958.881,990344.9849
2022-03-07,897015.8903,871742.9821,882732.4319,994943.7022,996990.3918
2022-03-08,891966.3349,864505.0434,876915.3621,979724.1386,995736.9225
2022-03-09,909831.8078,874241.8613,894753.1286,974146.3193,982613.5
2022-03-10,906765.5373,869622.6457,888079.8814,987817.8038,991136.3119
2022-03-11,900482.1277,872161.1055,882422.5177,988518.4,989736.4
2022-03-14,900510.7426,865491.5963,884046.0294,973813.6504,988135.542
2022-03-15,916886.3228,885840.7719,897453.6936,967208.2814,996728.9089
2022-03-16,931065.9289,905038.3771,905565.3624,955201.5254,1005286.146
2022-03-17,942482.069,907402.6326,918332.5,945469.5141,1012450.82
2022-03-18,949976.0564,914705.2035,920497.4,936333.2099,1002274.538
